@RELATION data

@ATTRIBUTE "niveauetude" {"Autodidacte","Bac +2","Bac +3","Bac +4","Bac +5","Bac","Qualification avant Bac"}
@ATTRIBUTE "experience" {"10_20","1_3","3_5","5_10","Débutant","Moins_1"}
@ATTRIBUTE "fonction" {"Achats_Supply Chain Logistique_Transport (métiers de)","Achats_Supply Chain","Administration des ventes_SAV Administration des ventes_SAV","Administration des ventes_SAV Call Centers (métiers de)","Administration des ventes_SAV","Agriculture (métiers de l')","Assistanat de Direction_Services Généraux Audit_Conseil","Assistanat de Direction_Services Généraux Commercial_Vente_Export","Assistanat de Direction_Services Généraux","Assurance (métiers de l') Banque (métiers de la)","Assurance (métiers de l')","Audit_Conseil Gestion_Comptabilité_Finance","Audit_Conseil Informatique_Electronique","Audit_Conseil RH_Personnel_Formation","Audit_Conseil","Avocat_Juriste_Fiscaliste RH_Personnel_Formation","Avocat_Juriste_Fiscaliste","Banque (métiers de la) Call Centers (métiers de)","Banque (métiers de la) Commercial_Vente_Export","Banque (métiers de la) Gestion_Comptabilité_Finance","Banque (métiers de la) Immobilier_Promotion (métiers de)","Banque (métiers de la) Informatique_Electronique","Banque (métiers de la)","Call Centers (métiers de) Assurance (métiers de l')","Call Centers (métiers de) Banque (métiers de la)","Call Centers (métiers de) Call Centers (métiers de)","Call Centers (métiers de) Commercial_Vente_Export","Call Centers (métiers de) Gestion_Comptabilité_Finance","Call Centers (métiers de) Informatique_Electronique","Call Centers (métiers de) Marketing","Call Centers (métiers de) Responsable de Département","Call Centers (métiers de)","Caméraman_Monteur_Preneur de son","Commercial_Vente_Export Commercial_Vente_Export","Commercial_Vente_Export Communication_Publicité_RP","Commercial_Vente_Export Enseignement","Commercial_Vente_Export Méthodes_Process_Industrialisation","Commercial_Vente_Export Responsable de Département","Commercial_Vente_Export","Communication_Publicité_RP Marketing","Communication_Publicité_RP Multimédia_Internet","Communication_Publicité_RP","Distribution (métiers de la) Commercial_Vente_Export","Distribution (métiers de la) Marketing","Electricité Méthodes_Process_Industrialisation","Electricité","Enseignement","Environnement (métiers de l') Environnement (métiers de l')","Environnement (métiers de l') Gestion projet_Etudes_R&D","Gestion projet_Etudes_R&D Call Centers (métiers de)","Gestion projet_Etudes_R&D Informatique_Electronique","Gestion projet_Etudes_R&D Production_Qualité_Sécurité_Maintenance","Gestion projet_Etudes_R&D Responsable de Département","Gestion projet_Etudes_R&D Travaux_Chantiers_BTP","Gestion projet_Etudes_R&D","Gestion_Comptabilité_Finance Gestion_Comptabilité_Finance","Gestion_Comptabilité_Finance RH_Personnel_Formation","Gestion_Comptabilité_Finance Responsable de Département","Gestion_Comptabilité_Finance","Hôtellerie_Restauration (métiers de) Responsable de Département","Immobilier_Promotion (métiers de) Travaux_Chantiers_BTP","Informatique_Electronique Assurance (métiers de l')","Informatique_Electronique Banque (métiers de la)","Informatique_Electronique Call Centers (métiers de)","Informatique_Electronique Commercial_Vente_Export","Informatique_Electronique Gestion projet_Etudes_R&D","Informatique_Electronique Informatique_Electronique","Informatique_Electronique Multimédia_Internet","Informatique_Electronique Production_Qualité_Sécurité_Maintenance","Informatique_Electronique RH_Personnel_Formation","Informatique_Electronique Télécoms_Réseaux","Informatique_Electronique","Journalisme_Traduction","Logistique_Transport (métiers de) Production_Qualité_Sécurité_Maintenance","Logistique_Transport (métiers de)","Marketing Multimédia_Internet","Marketing","Multimédia_Internet Informatique_Electronique","Multimédia_Internet Marketing","Multimédia_Internet","Médical_Paramédical Call Centers (métiers de)","Méthodes_Process_Industrialisation Gestion projet_Etudes_R&D","Méthodes_Process_Industrialisation Production_Qualité_Sécurité_Maintenance","Méthodes_Process_Industrialisation","Production_Qualité_Sécurité_Maintenance Responsable de Département","Production_Qualité_Sécurité_Maintenance Travaux_Chantiers_BTP","Production_Qualité_Sécurité_Maintenance","RH_Personnel_Formation RH_Personnel_Formation","RH_Personnel_Formation","Travaux_Chantiers_BTP Urbanisme_architecture","Travaux_Chantiers_BTP","Télécoms_Réseaux Informatique_Electronique","Télécoms_Réseaux Télécoms_Réseaux","Télécoms_Réseaux"}
@ATTRIBUTE "societe" {"ALTEN_Maroc","ARIA_Tech","ATOZMA_Services","AXA_Group_Operations_Maroc","AXA_Rabat_(Axa_Services)","Accytime","Adria_Business_&_Technology","Al_Hoceinia","Altados","Aria","Atlas_On_Line","Atlas_Pharm","Atos","Attijariwafa_bank","Axa_Assurance_Maroc","BMCI_Groupe_BNP_Paribas","CDG","CDG_Capital","CGI_Technologies_Solutions_Maroc","Cnexia","Coface","Coficab","Comdata_Group","Comicom","Crouzet","DXC_Technology_Maroc","Deloitte_Nearshore","Eca_Assurances","Ecolys","Econocom_Maroc","Epil_Tech_Maroc","Eumatech","Excel_Management_Conseil","Fondation_Marocaine_pour_la_Promotion_de_l'enseignement_préScolaire","GO_RH_Maroc","HPS_Maroc","HP_SEARCH","Hit_Radio","INTM_Mediterranée","Imacab","Intelcia","Intelcia_ITS","Involys","Isossell_Groupe","Jadaoui_Conseil","LCI_Education","La_Brigade_de_Casa","Label'Vie_-_Carrefour_Market","Leinitiative","Leyton","Lydec_SUEZ","Madaef","Majorel","Manpower_Agences","Maroc_Climate_and_Security_(MCS)_-_Carrier","MedZ_Sourcing","Meski_Invest_-_Riva_Industries","Msin","Neosys","Nomac","Novec","OBS","ORH_Assessment","Oceane_Consulting","Océan_Vagabond_Lassarga","Omnishore","Opus.RH","Perenity_Software","Preci","ReKrute","Reactive_Executive","Richbond","S3M","SQLI_Maroc","Safran_Nacelles","Sitel_Group","Société_Générale_Maroc","Société_des_Boissons_du_Maroc","Sofrecom_Services_Maroc","Stellantis","TNC__The_Next_Clic","TeamDEV","Umanis","Unifitel","Université_Internationale_de_Rabat","Université_Mohammed_VI_Polytechnique","Ventec","Webhelp_Maroc","Welink","Winxo","Zinelec_Group"}

@DATA
"Bac +3","5_10","RH_Personnel_Formation","HP_SEARCH"
"Bac +3","3_5","RH_Personnel_Formation","HP_SEARCH"
"Bac +5","3_5","Gestion projet_Etudes_R&D Informatique_Electronique","ORH_Assessment"
"Bac +5","1_3","Banque (métiers de la)","Deloitte_Nearshore"
"Bac +5","3_5","Audit_Conseil","Reactive_Executive"
"Bac +4","1_3","Audit_Conseil RH_Personnel_Formation","Imacab"
"Bac +5","3_5","Gestion_Comptabilité_Finance Gestion_Comptabilité_Finance","Lydec_SUEZ"
"Bac +3","5_10","Commercial_Vente_Export Responsable de Département","Winxo"
"Bac +5","5_10","Production_Qualité_Sécurité_Maintenance Responsable de Département","Crouzet"
"Bac +5","5_10","RH_Personnel_Formation","Manpower_Agences"
"Bac +4","3_5","Call Centers (métiers de) Commercial_Vente_Export","Manpower_Agences"
"Bac +5","10_20","Hôtellerie_Restauration (métiers de) Responsable de Département","Océan_Vagabond_Lassarga"
"Bac +5","3_5","Gestion_Comptabilité_Finance Gestion_Comptabilité_Finance","Majorel"
"Bac +5","1_3","Informatique_Electronique","INTM_Mediterranée"
"Bac +5","Moins_1","Informatique_Electronique","CGI_Technologies_Solutions_Maroc"
"Bac +5","5_10","Informatique_Electronique Télécoms_Réseaux","Atos"
"Bac +5","5_10","Travaux_Chantiers_BTP Urbanisme_architecture","ORH_Assessment"
"Bac +5","Moins_1","Informatique_Electronique Informatique_Electronique","Atos"
"Bac +5","3_5","RH_Personnel_Formation","INTM_Mediterranée"
"Bac +2","3_5","Electricité","Zinelec_Group"
"Bac +5","5_10","Informatique_Electronique","SQLI_Maroc"
"Bac +5","10_20","Informatique_Electronique Multimédia_Internet","SQLI_Maroc"
"Bac +4","Débutant","Informatique_Electronique","Perenity_Software"
"Bac +5","Débutant","RH_Personnel_Formation RH_Personnel_Formation","Adria_Business_&_Technology"
"Bac +3","1_3","Assistanat de Direction_Services Généraux","Aria"
"Bac +2","Débutant","Télécoms_Réseaux Informatique_Electronique","ALTEN_Maroc"
"Qualification avant Bac","Moins_1","Agriculture (métiers de l')","Université_Mohammed_VI_Polytechnique"
"Bac +5","5_10","Télécoms_Réseaux","Intelcia_ITS"
"Qualification avant Bac","3_5","Caméraman_Monteur_Preneur de son","Université_Mohammed_VI_Polytechnique"
"Bac +5","3_5","Gestion projet_Etudes_R&D","Université_Mohammed_VI_Polytechnique"
"Bac +5","3_5","Achats_Supply Chain","Université_Mohammed_VI_Polytechnique"
"Qualification avant Bac","1_3","Agriculture (métiers de l')","Université_Mohammed_VI_Polytechnique"
"Bac +2","3_5","Agriculture (métiers de l')","Université_Mohammed_VI_Polytechnique"
"Qualification avant Bac","3_5","Agriculture (métiers de l')","Université_Mohammed_VI_Polytechnique"
"Bac +5","5_10","Environnement (métiers de l') Environnement (métiers de l')","Lydec_SUEZ"
"Bac","Moins_1","Call Centers (métiers de) Commercial_Vente_Export","Sitel_Group"
"Bac +4","5_10","Commercial_Vente_Export","S3M"
"Bac +2","Moins_1","Call Centers (métiers de) Commercial_Vente_Export","Sitel_Group"
"Bac +5","5_10","Gestion projet_Etudes_R&D Production_Qualité_Sécurité_Maintenance","MedZ_Sourcing"
"Bac +4","3_5","Gestion_Comptabilité_Finance","S3M"
"Bac +3","1_3","Multimédia_Internet","Hit_Radio"
"Bac +5","1_3","Communication_Publicité_RP Marketing","Ecolys"
"Bac +4","3_5","Communication_Publicité_RP Marketing","Madaef"
"Bac +5","5_10","Commercial_Vente_Export","TNC__The_Next_Clic"
"Bac +5","Débutant","RH_Personnel_Formation","Crouzet"
"Bac +5","3_5","Informatique_Electronique Multimédia_Internet","Welink"
"Bac +5","3_5","Banque (métiers de la) Immobilier_Promotion (métiers de)","HP_SEARCH"
"Bac +5","5_10","Gestion_Comptabilité_Finance RH_Personnel_Formation","BMCI_Groupe_BNP_Paribas"
"Bac +3","1_3","Production_Qualité_Sécurité_Maintenance","Aria"
"Bac +5","3_5","Informatique_Electronique","Oceane_Consulting"
"Bac +5","5_10","Gestion_Comptabilité_Finance","Atlas_Pharm"
"Bac +5","3_5","Informatique_Electronique Assurance (métiers de l')","Eca_Assurances"
"Bac +4","5_10","Assistanat de Direction_Services Généraux","Eumatech"
"Bac +4","10_20","Audit_Conseil","Excel_Management_Conseil"
"Bac +5","Débutant","Informatique_Electronique","Perenity_Software"
"Bac +5","3_5","Informatique_Electronique Production_Qualité_Sécurité_Maintenance","Meski_Invest_-_Riva_Industries"
"Bac +3","1_3","RH_Personnel_Formation","Leyton"
"Bac +3","3_5","Informatique_Electronique","Leinitiative"
"Bac +3","3_5","Commercial_Vente_Export","Intelcia"
"Bac +5","5_10","RH_Personnel_Formation","Université_Mohammed_VI_Polytechnique"
"Bac +3","1_3","Call Centers (métiers de) Gestion_Comptabilité_Finance","Maroc_Climate_and_Security_(MCS)_-_Carrier"
"Bac +3","1_3","Commercial_Vente_Export Commercial_Vente_Export","Manpower_Agences"
"Bac +3","1_3","Gestion projet_Etudes_R&D Travaux_Chantiers_BTP","Lydec_SUEZ"
"Bac","Moins_1","Call Centers (métiers de)","Sitel_Group"
"Bac +5","1_3","Call Centers (métiers de) Commercial_Vente_Export","Sitel_Group"
"Bac +5","10_20","Informatique_Electronique","Altados"
"Bac +5","5_10","Marketing","Ventec"
"Bac +5","5_10","Informatique_Electronique","Preci"
"Bac +2","10_20","Travaux_Chantiers_BTP","Novec"
"Bac +2","5_10","Agriculture (métiers de l')","Novec"
"Bac +4","3_5","Commercial_Vente_Export Communication_Publicité_RP","Epil_Tech_Maroc"
"Bac +5","Débutant","RH_Personnel_Formation","Hit_Radio"
"Bac +5","Débutant","Informatique_Electronique","Atos"
"Bac +5","1_3","Banque (métiers de la) Informatique_Electronique","BMCI_Groupe_BNP_Paribas"
"Bac +5","3_5","Banque (métiers de la) Informatique_Electronique","BMCI_Groupe_BNP_Paribas"
"Bac +2","1_3","Informatique_Electronique Multimédia_Internet","DXC_Technology_Maroc"
"Bac +5","10_20","Informatique_Electronique","BMCI_Groupe_BNP_Paribas"
"Bac +5","3_5","Gestion projet_Etudes_R&D","Deloitte_Nearshore"
"Bac +5","3_5","Informatique_Electronique Multimédia_Internet","CGI_Technologies_Solutions_Maroc"
"Bac +5","3_5","Marketing","Ecolys"
"Bac +5","5_10","Banque (métiers de la) Informatique_Electronique","BMCI_Groupe_BNP_Paribas"
"Bac +4","1_3","Informatique_Electronique Informatique_Electronique","AXA_Rabat_(Axa_Services)"
"Bac +5","10_20","RH_Personnel_Formation","BMCI_Groupe_BNP_Paribas"
"Bac +2","3_5","Méthodes_Process_Industrialisation Production_Qualité_Sécurité_Maintenance","Nomac"
"Bac +5","3_5","Achats_Supply Chain Logistique_Transport (métiers de)","Label'Vie_-_Carrefour_Market"
"Bac +4","5_10","Informatique_Electronique Multimédia_Internet","Atos"
"Bac +5","1_3","Informatique_Electronique","Preci"
"Bac +5","5_10","Banque (métiers de la)","Preci"
"Bac +5","10_20","Informatique_Electronique","Preci"
"Bac +5","3_5","Informatique_Electronique","Preci"
"Bac +5","1_3","Banque (métiers de la)","CDG_Capital"
"Autodidacte","Moins_1","Call Centers (métiers de) Commercial_Vente_Export","Isossell_Groupe"
"Bac +2","1_3","Call Centers (métiers de) Banque (métiers de la)","Unifitel"
"Bac +5","5_10","Audit_Conseil Gestion_Comptabilité_Finance","GO_RH_Maroc"
"Bac +2","Moins_1","Informatique_Electronique Call Centers (métiers de)","Econocom_Maroc"
"Qualification avant Bac","Moins_1","Call Centers (métiers de) Commercial_Vente_Export","Comdata_Group"
"Bac +5","1_3","Informatique_Electronique","CGI_Technologies_Solutions_Maroc"
"Bac +5","3_5","Commercial_Vente_Export Enseignement","LCI_Education"
"Bac +5","1_3","Marketing","Université_Internationale_de_Rabat"
"Bac +3","3_5","Informatique_Electronique","TNC__The_Next_Clic"
"Bac +5","1_3","RH_Personnel_Formation","Sitel_Group"
"Bac +3","3_5","Médical_Paramédical Call Centers (métiers de)","Sitel_Group"
"Bac +2","1_3","Call Centers (métiers de) Marketing","Sitel_Group"
"Bac +3","1_3","Administration des ventes_SAV Call Centers (métiers de)","Sitel_Group"
"Bac +3","1_3","Gestion projet_Etudes_R&D Call Centers (métiers de)","Sitel_Group"
"Bac +2","1_3","Administration des ventes_SAV Call Centers (métiers de)","Sitel_Group"
"Bac +3","1_3","Commercial_Vente_Export","Aria"
"Bac +3","1_3","Call Centers (métiers de) Commercial_Vente_Export","Isossell_Groupe"
"Bac +3","1_3","Call Centers (métiers de) Commercial_Vente_Export","Aria"
"Bac +3","5_10","Avocat_Juriste_Fiscaliste RH_Personnel_Formation","ORH_Assessment"
"Bac +5","5_10","Gestion projet_Etudes_R&D Responsable de Département","Coface"
"Bac +5","3_5","Informatique_Electronique Informatique_Electronique","SQLI_Maroc"
"Bac +5","5_10","Informatique_Electronique","HPS_Maroc"
"Bac +5","5_10","RH_Personnel_Formation","BMCI_Groupe_BNP_Paribas"
"Bac +5","5_10","Informatique_Electronique Télécoms_Réseaux","Webhelp_Maroc"
"Bac +2","1_3","Call Centers (métiers de)","Accytime"
"Qualification avant Bac","Débutant","Call Centers (métiers de) Commercial_Vente_Export","Comdata_Group"
"Bac +5","1_3","Informatique_Electronique Télécoms_Réseaux","Webhelp_Maroc"
"Qualification avant Bac","Moins_1","Administration des ventes_SAV Call Centers (métiers de)","Comdata_Group"
"Bac +5","3_5","Informatique_Electronique Multimédia_Internet","SQLI_Maroc"
"Bac +5","1_3","RH_Personnel_Formation","Cnexia"
"Bac +2","1_3","Call Centers (métiers de) Informatique_Electronique","Cnexia"
"Bac +5","5_10","Assurance (métiers de l')","Axa_Assurance_Maroc"
"Bac +5","1_3","Environnement (métiers de l') Gestion projet_Etudes_R&D","Leyton"
"Bac +2","1_3","Méthodes_Process_Industrialisation","ALTEN_Maroc"
"Bac +5","1_3","Informatique_Electronique","ALTEN_Maroc"
"Bac +5","1_3","Méthodes_Process_Industrialisation Gestion projet_Etudes_R&D","ALTEN_Maroc"
"Bac +5","3_5","Méthodes_Process_Industrialisation","ALTEN_Maroc"
"Bac +5","3_5","Audit_Conseil Informatique_Electronique","Leyton"
"Bac +5","1_3","Audit_Conseil","Meski_Invest_-_Riva_Industries"
"Bac +5","1_3","Audit_Conseil Gestion_Comptabilité_Finance","Meski_Invest_-_Riva_Industries"
"Bac +3","3_5","Commercial_Vente_Export","Meski_Invest_-_Riva_Industries"
"Bac +2","5_10","Enseignement","Université_Mohammed_VI_Polytechnique"
"Bac +4","3_5","Administration des ventes_SAV","Université_Mohammed_VI_Polytechnique"
"Bac +2","1_3","Call Centers (métiers de) Commercial_Vente_Export","Atlas_On_Line"
"Bac +2","1_3","Multimédia_Internet","Hit_Radio"
"Bac +5","3_5","RH_Personnel_Formation","Novec"
"Bac +5","1_3","Journalisme_Traduction","Hit_Radio"
"Bac +5","3_5","Gestion projet_Etudes_R&D Informatique_Electronique","Involys"
"Bac +4","1_3","Commercial_Vente_Export","Comicom"
"Bac +4","1_3","Marketing Multimédia_Internet","LCI_Education"
